ID,Process_Time,Site,LatLon,Skill_Req,Plant Type,Description,Engineer,Day_Sched,Start_min
INS262885,1,CAS.Fairburn View Primary School (1628),"53.726479, -1.318598",gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,16/03/2020,12:45:00
INS269360,0.5,CAS.Fairburn View Primary School (1628),"53.726479, -1.318598",gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,12:15:00
INS230974,1,CAS.Oyster Park Airedale Academies Trust,"53.728717, -1.306853",gas,34.01A,Gas Servicing (Annual),Engineer 0,16/03/2020,11:12:00
INS231263,0.5,CAS.Oyster Park Airedale Academies Trust,"53.728717, -1.306853",gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,10:42:00
INS252395,1,CAS.Oyster Park Airedale Academies Trust,"53.728717, -1.306853",gas,34.01C,Gas Catering Servicing (Annual),Engineer 0,16/03/2020,09:42:00
INS260652,1,"FEA.All Saints Featherstone CE (VA) J&I School (1701)
NO ACCESS GROUND FLOOR CEILING VOIDS AND ROOF TOP TANK ROOMS - ASBESTOS","53.693982, -1.358633",gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,16/03/2020,08:31:00
INS272038,0.5,"FEA.All Saints Featherstone CE (VA) J&I School (1701)
NO ACCESS GROUND FLOOR CEILING VOIDS AND ROOF TOP TANK ROOMS - ASBESTOS","53.693982, -1.358633",gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,08:01:00
INS269688,0.5,FEA.FEATHERSTONE SPORTS COMPLEX & ASSOCIATED LAND,"53.675755, -1.342750",gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,13/03/2020,14:42:00
INS260230,1,HEM.Hemsworth Grove Lea Primary School (1809),"53.610515, -1.349044",gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,13/03/2020,13:31:00
INS260862,1,HEM.Hemsworth Grove Lea Primary School (1809),"53.610515, -1.349044",gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,13/03/2020,12:31:00
INS243183,1,NOR.TOWN HALL AND PINDERS LODGE SITE (Note ** Pinders lodge vacant**),"53.700467, -1.416900",gas,34.01A,Gas Servicing (Annual),Engineer 0,13/03/2020,10:01:00
INS252400,1,NOR.WOODHOUSE BUSINESS CENTRE,"53.692131, -1.423036",gas,34.01A,Gas Servicing (Annual),Engineer 0,13/03/2020,08:45:00
INS191378,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),"53.696956, -1.583033",gas,34.01C,Gas Catering Servicing (Annual),Engineer 0,12/03/2020,13:31:00
