ID,Process_Time,Site,Skill_Req,Plant Type,Description,Engineer,Day_Sched,Start_min
INS262885,1,CAS.Fairburn View Primary School (1628),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,16/03/2020,12:45:00
INS269360,0.5,CAS.Fairburn View Primary School (1628),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,12:15:00
INS230974,1,CAS.Oyster Park Airedale Academies Trust,gas,34.01A,Gas Servicing (Annual),Engineer 0,16/03/2020,11:12:00
INS231263,0.5,CAS.Oyster Park Airedale Academies Trust,gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,10:42:00
INS252395,1,CAS.Oyster Park Airedale Academies Trust,gas,34.01C,Gas Catering Servicing (Annual),Engineer 0,16/03/2020,09:42:00
INS260652,1,"FEA.All Saints Featherstone CE (VA) J&I School (1701)
NO ACCESS GROUND FLOOR CEILING VOIDS AND ROOF TOP TANK ROOMS - ASBESTOS",gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,16/03/2020,08:31:00
INS272038,0.5,"FEA.All Saints Featherstone CE (VA) J&I School (1701)
NO ACCESS GROUND FLOOR CEILING VOIDS AND ROOF TOP TANK ROOMS - ASBESTOS",gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,16/03/2020,08:01:00
INS269688,0.5,FEA.FEATHERSTONE SPORTS COMPLEX & ASSOCIATED LAND,gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,13/03/2020,14:42:00
INS260230,1,HEM.Hemsworth Grove Lea Primary School (1809),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,13/03/2020,13:31:00
INS260862,1,HEM.Hemsworth Grove Lea Primary School (1809),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,13/03/2020,12:31:00
INS243183,1,NOR.TOWN HALL AND PINDERS LODGE SITE (Note ** Pinders lodge vacant**),gas,34.01A,Gas Servicing (Annual),Engineer 0,13/03/2020,10:01:00
INS252400,1,NOR.WOODHOUSE BUSINESS CENTRE,gas,34.01A,Gas Servicing (Annual),Engineer 0,13/03/2020,08:45:00
INS191378,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.01C,Gas Catering Servicing (Annual),Engineer 0,12/03/2020,13:31:00
INS210283,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.01A,Gas Servicing (Annual),Engineer 0,12/03/2020,12:31:00
INS210286,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.01A,Gas Servicing (Annual),Engineer 0,12/03/2020,11:31:00
INS239615,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.01A,Gas Servicing (Annual),Engineer 0,12/03/2020,10:31:00
INS242553,1,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.01A,Gas Servicing (Annual),Engineer 0,12/03/2020,09:31:00
INS271988,0.5,OSS.Highfield School (1958) (Held on Trust by WMDC) (EDUCATION OSSETT COMMUNITY TRUST),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,12/03/2020,09:01:00
INS252382,1,OSS.HIGHFIELD SCHOOL CARETAKERS HOUSE (Ossett Trust see notes),gas,34.01A,Gas Servicing (Annual),Engineer 0,12/03/2020,08:01:00
INS252389,1,OYSTER PARK  CARETAKERS BUNGALOW (AIREDALE ACADEMIES TRUST),gas,34.01A,Gas Servicing (Annual),Engineer 0,11/03/2020,14:07:00
INS260654,1,Pinderfields Hospital PRU - WRENTHORPE SITE (1102),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,11/03/2020,12:46:00
INS252383,1,PON.Moorthorpe Primary (J&I) School (1819),gas,34.01A,Gas Servicing (Annual),Engineer 0,11/03/2020,11:19:00
INS252384,1,PON.Moorthorpe Primary (J&I) School (1819),gas,34.01A,Gas Servicing (Annual),Engineer 0,11/03/2020,10:19:00
INS252385,1,PON.Moorthorpe Primary (J&I) School (1819),gas,34.01A,Gas Servicing (Annual),Engineer 0,11/03/2020,09:19:00
INS217098,1,PON.PONTEFRACT CASTLE VISITORS CENTRE & CAFE,gas,34.01A,Gas Servicing (Annual),Engineer 0,11/03/2020,08:01:00
INS261205,1,PON.PONTEFRACT CASTLE VISITORS CENTRE & CAFE,gas,34.03,Flue Service (Annual),Engineer 0,10/03/2020,14:31:00
